YEAR,JULIAN,WxT_AVG,TxW_AVG,EARLIEST,WxT_EARLIEST,TxW_EARLIEST
2000,158.3684211,159.9,155.5,152,152,152
2001,156.25,157.5,155.22222,148,148,150
2002,161.8571429,161.75,162,157,157,160
2003,161.0833333,159.5,161.875,156,157,156
2004,157.6666667,156.545455,158.9,151,151,152
2005,159.6129032,159.45,160.6,152,152,152
2006,155.8275862,156.529412,154.833333,150,150,150
2007,156.45,157.230769,154.625,150,151,150
2008,158.6,157.545455,159.5,155,155,157
2009,156.0882353,155.0625,156.75,142,142,146
2010,156.7407407,155.642857,157.923077,151,151,153
2011,157.1875,156.809524,157.9,144,144,154
2012,151.2592593,150.5625,152.272727,144,144,147
2013,160.12,159.1875,161.777777,150,150,154
2014,159.3076923,158.65,160,152,152,154
2015,156.6956522,156.2,157.076923,152,154,152
2016,160.225,160.421053,159,152,152,154
2017,157.875,161.5,156.833333,151,160,151
2018,155.7058824,156.375,155.3111111,150,150,151
2019,159,159.789474,157.727272,151,154,151